power,count
"173 hp @ 6,500 RPM",291
"202 hp @ 5,200 RPM",290
"354 hp @ 5,400 RPM",287
"320 hp @ 5,000 RPM",286
"317 hp @ 5,200 RPM",282
"138 hp @ 6,000 RPM",280
"200 hp @ 5,700 RPM",280
"251 hp @ 6,000 RPM",279
"367 hp @ 5,500 RPM",276
"200 hp @ 5,200 RPM",273
"190 hp @ 6,300 RPM",271
"310 hp @ 5,600 RPM",269
"192 hp @ 6,300 RPM",266
"273 hp @ 6,250 RPM",266
"158 hp @ 6,400 RPM",264
"181 hp @ 5,500 RPM",262
"169 hp @ 6,000 RPM",262
"510 hp @ 6,000 RPM",259
"265 hp @ 6,000 RPM",259
"362 hp @ 4,750 RPM",258
"305 hp @ 6,600 RPM",258
"382 hp @ 6,000 RPM",255
"140 hp @ 5,100 RPM",253
"362 hp @ 5,250 RPM",251
"290 hp @ 6,300 RPM",248
"329 hp @ 5,250 RPM",247
"276 hp @ 6,300 RPM",244
"360 hp @ 5,400 RPM",239
"435 hp @ 6,500 RPM",239
"311 hp @ 6,400 RPM",237
"210 hp @ 5,100 RPM",236
"126 hp @ 6,000 RPM",236
"117 hp @ 6,600 RPM",236
"518 hp @ 6,000 RPM",230
"205 hp @ 5,700 RPM",230
"244 hp @ 5,750 RPM",226
"265 hp @ 6,400 RPM",225
"210 hp @ 5,300 RPM",225
"303 hp @ 6,350 RPM",225
"204 hp @ 6,400 RPM",225
"250 hp @ 5,400 RPM",224
"174 hp @ 5,000 RPM",223
"311 hp @ 6,000 RPM",223
"365 hp @ 5,700 RPM",221
"237 hp @ 5,500 RPM",219
"115 hp @ 5,200 RPM",218
"360 hp @ 2,800 RPM",218
"245 hp @ 6,000 RPM",218
"323 hp @ 6,800 RPM",217
"365 hp @ 3,200 RPM",217
"295 hp @ 5,200 RPM",216
"382 hp @ 5,800 RPM",214
"160 hp @ 6,400 RPM",211
"310 hp @ 5,100 RPM",209
"137 hp @ 6,300 RPM",206
"131 hp @ 5,200 RPM",204
"302 hp @ 5,700 RPM",204
"271 hp @ 6,200 RPM",202
"385 hp @ 5,500 RPM",202
"201 hp @ 7,000 RPM",200
"275 hp @ 6,200 RPM",199
"355 hp @ 5,500 RPM",199
"345 hp @ 5,750 RPM",197
"191 hp @ 6,300 RPM",195
"330 hp @ 7,000 RPM",192
"228 hp @ 6,000 RPM",192
"425 hp @ 5,500 RPM",190
"122 hp @ 5,200 RPM",188
"185 hp @ 5,200 RPM",187
"300 hp @ 6,000 RPM",187
"300 hp @ 6,800 RPM",186
"335 hp @ 5,300 RPM",186
"273 hp @ 6,200 RPM",184
"244 hp @ 5,700 RPM",183
"305 hp @ 4,250 RPM",183
"323 hp @ 4,600 RPM",183
"400 hp @ 6,400 RPM",182
"274 hp @ 6,000 RPM",182
"160 hp @ 6,000 RPM",182
"237 hp @ 6,000 RPM",181
"169 hp @ 6,400 RPM",177
"175 hp @ 6,300 RPM",176
"269 hp @ 6,200 RPM",175
"159 hp @ 5,200 RPM",175
"136 hp @ 6,300 RPM",175
"300 hp @ 5,200 RPM",174
"272 hp @ 6,200 RPM",173
"144 hp @ 6,500 RPM",172
"131 hp @ 5,600 RPM",171
"207 hp @ 5,250 RPM",171
"197 hp @ 5,200 RPM",170
"320 hp @ 5,200 RPM",170
"302 hp @ 5,600 RPM",168
"148 hp @ 6,500 RPM",167
"295 hp @ 5,500 RPM",166
"285 hp @ 5,500 RPM",165
"306 hp @ 6,400 RPM",165
"221 hp @ 5,800 RPM",164
"101 hp @ 6,500 RPM",163
"424 hp @ 5,750 RPM",163
"340 hp @ 5,500 RPM",162
"242 hp @ 6,000 RPM",161
"177 hp @ 5,500 RPM",161
"523 hp @ 5,500 RPM",159
175 hp @ 600 RPM,159
"475 hp @ 6,000 RPM",158
"200 hp @ 6,000 RPM",157
"194 hp @ 5,700 RPM",156
"242 hp @ 5,600 RPM",156
"429 hp @ 6,100 RPM",155
"110 hp @ 5,000 RPM",153
"300 hp @ 4,400 RPM",153
"400 hp @ 5,500 RPM",151
"400 hp @ 5,900 RPM",147
"385 hp @ 6,100 RPM",146
"250 hp @ 5,600 RPM",145
"180 hp @ 4,000 RPM",145
"165 hp @ 5,600 RPM",145
"310 hp @ 5,200 RPM",144
"150 hp @ 3,500 RPM",143
"300 hp @ 5,600 RPM",143
"577 hp @ 5,500 RPM",143
"420 hp @ 6,500 RPM",141
"380 hp @ 5,250 RPM",139
"205 hp @ 6,600 RPM",138
"305 hp @ 6,000 RPM",138
"190 hp @ 4,600 RPM",137
"230 hp @ 5,600 RPM",137
"270 hp @ 7,000 RPM",133
"350 hp @ 3,000 RPM",131
"252 hp @ 6,300 RPM",130
"197 hp @ 6,300 RPM",130
"244 hp @ 5,600 RPM",129
"330 hp @ 5,400 RPM",129
"155 hp @ 6,100 RPM",127
"193 hp @ 6,300 RPM",126
"444 hp @ 5,700 RPM",126
"157 hp @ 5,600 RPM",126
"345 hp @ 5,400 RPM",125
"210 hp @ 5,800 RPM",124
"205 hp @ 7,000 RPM",121
"84 hp @ 6,400 RPM",121
"375 hp @ 6,500 RPM",121
"137 hp @ 6,100 RPM",121
"416 hp @ 6,000 RPM",120
"250 hp @ 6,400 RPM",120
"235 hp @ 4,800 RPM",119
"235 hp @ 6,200 RPM",119
"494 hp @ 5,000 RPM",119
"275 hp @ 6,600 RPM",118
"248 hp @ 6,500 RPM",118
"650 hp @ 6,400 RPM",117
"235 hp @ 6,400 RPM",117
"276 hp @ 5,250 RPM",117
"333 hp @ 5,300 RPM",117
"365 hp @ 6,000 RPM",117
"248 hp @ 5,600 RPM",116
"142 hp @ 6,000 RPM",114
