torque,count
"461 lb-ft @ 2,500 RPM",500
"172 lb-ft @ 4,000 RPM",494
"262 lb-ft @ 4,250 RPM",482
"405 lb-ft @ 2,400 RPM",482
"250 lb-ft @ 1,750 RPM",480
"200 lb-ft @ 2,750 RPM",478
"161 lb-ft @ 4,300 RPM",472
"247 lb-ft @ 4,400 RPM",471
"129 lb-ft @ 4,300 RPM",471
"365 lb-ft @ 3,750 RPM",469
"112 lb-ft @ 4,500 RPM",468
"516 lb-ft @ 1,800 RPM",467
"350 lb-ft @ 2,500 RPM",465
"222 lb-ft @ 5,100 RPM",462
"167 lb-ft @ 4,100 RPM",460
"170 lb-ft @ 4,500 RPM",456
"103 lb-ft @ 4,000 RPM",453
"161 lb-ft @ 4,200 RPM",450
"252 lb-ft @ 5,300 RPM",449
"455 lb-ft @ 4,400 RPM",448
"162 lb-ft @ 4,000 RPM",443
"177 lb-ft @ 1,600 RPM",438
"480 lb-ft @ 2,000 RPM",435
"207 lb-ft @ 1,350 RPM",435
"350 lb-ft @ 3,500 RPM",431
"332 lb-ft @ 4,500 RPM",428
"660 lb-ft @ 1,400 RPM",421
"258 lb-ft @ 2,400 RPM",421
"168 lb-ft @ 4,000 RPM",417
"384 lb-ft @ 1,800 RPM",415
"516 lb-ft @ 2,000 RPM",414
"125 lb-ft @ 3,800 RPM",413
"248 lb-ft @ 4,400 RPM",413
"407 lb-ft @ 4,000 RPM",412
"265 lb-ft @ 2,400 RPM",398
"249 lb-ft @ 4,500 RPM",394
"123 lb-ft @ 4,850 RPM",392
"171 lb-ft @ 4,900 RPM",389
"255 lb-ft @ 1,450 RPM",385
"800 lb-ft @ 1,600 RPM",384
"186 lb-ft @ 5,000 RPM",379
"139 lb-ft @ 4,800 RPM",374
"260 lb-ft @ 2,500 RPM",368
"221 lb-ft @ 1,250 RPM",365
"161 lb-ft @ 4,000 RPM",362
"162 lb-ft @ 1,250 RPM",358
"254 lb-ft @ 5,000 RPM",356
"369 lb-ft @ 1,800 RPM",355
"295 lb-ft @ 1,500 RPM",350
"406 lb-ft @ 1,750 RPM",349
"394 lb-ft @ 4,200 RPM",348
"269 lb-ft @ 5,200 RPM",347
"250 lb-ft @ 4,500 RPM",347
"400 lb-ft @ 2,750 RPM",340
"267 lb-ft @ 5,200 RPM",334
"200 lb-ft @ 1,750 RPM",334
"395 lb-ft @ 4,200 RPM",332
"406 lb-ft @ 2,000 RPM",332
"207 lb-ft @ 1,800 RPM",332
"240 lb-ft @ 4,500 RPM",327
"230 lb-ft @ 4,000 RPM",323
"162 lb-ft @ 4,400 RPM",323
"330 lb-ft @ 1,380 RPM",320
"165 lb-ft @ 4,000 RPM",317
"860 lb-ft @ 1,600 RPM",317
"468 lb-ft @ 3,900 RPM",309
"119 lb-ft @ 4,850 RPM",309
"258 lb-ft @ 1,950 RPM",309
"380 lb-ft @ 4,250 RPM",309
"136 lb-ft @ 4,250 RPM",305
"369 lb-ft @ 1,600 RPM",304
"262 lb-ft @ 5,300 RPM",303
"300 lb-ft @ 1,400 RPM",301
"480 lb-ft @ 2,250 RPM",297
"246 lb-ft @ 4,700 RPM",296
"237 lb-ft @ 4,000 RPM",294
"154 lb-ft @ 4,700 RPM",294
"660 lb-ft @ 1,600 RPM",294
"420 lb-ft @ 2,000 RPM",292
"248 lb-ft @ 5,000 RPM",291
"553 lb-ft @ 1,800 RPM",290
"185 lb-ft @ 3,250 RPM",289
"385 lb-ft @ 3,400 RPM",287
"390 lb-ft @ 3,500 RPM",283
"375 lb-ft @ 4,300 RPM",280
"258 lb-ft @ 1,200 RPM",280
"384 lb-ft @ 2,500 RPM",274
"169 lb-ft @ 3,750 RPM",270
"186 lb-ft @ 4,250 RPM",270
"270 lb-ft @ 4,250 RPM",269
"141 lb-ft @ 5,000 RPM",268
"268 lb-ft @ 5,200 RPM",266
"391 lb-ft @ 2,800 RPM",264
"262 lb-ft @ 5,000 RPM",262
"236 lb-ft @ 1,500 RPM",262
"290 lb-ft @ 4,000 RPM",262
"280 lb-ft @ 4,800 RPM",261
"457 lb-ft @ 3,250 RPM",260
"277 lb-ft @ 4,800 RPM",259
"269 lb-ft @ 5,000 RPM",258
"147 lb-ft @ 4,800 RPM",258
"360 lb-ft @ 4,000 RPM",258
"240 lb-ft @ 4,000 RPM",257
"472 lb-ft @ 2,200 RPM",256
"270 lb-ft @ 5,200 RPM",255
"251 lb-ft @ 3,200 RPM",250
"354 lb-ft @ 1,600 RPM",248
"400 lb-ft @ 4,250 RPM",245
"254 lb-ft @ 3,700 RPM",241
"380 lb-ft @ 4,200 RPM",240
"266 lb-ft @ 1,800 RPM",240
"350 lb-ft @ 3,000 RPM",239
"106 lb-ft @ 4,800 RPM",238
"148 lb-ft @ 4,600 RPM",238
"365 lb-ft @ 3,600 RPM",236
"270 lb-ft @ 4,500 RPM",235
"192 lb-ft @ 2,100 RPM",234
"185 lb-ft @ 4,800 RPM",232
"293 lb-ft @ 5,000 RPM",227
"335 lb-ft @ 4,400 RPM",227
"278 lb-ft @ 4,800 RPM",220
"800 lb-ft @ 1,800 RPM",218
"136 lb-ft @ 4,600 RPM",218
"251 lb-ft @ 1,250 RPM",218
"214 lb-ft @ 4,000 RPM",214
"160 lb-ft @ 4,000 RPM",213
"295 lb-ft @ 2,100 RPM",210
"177 lb-ft @ 2,000 RPM",210
"98 lb-ft @ 4,000 RPM",209
"369 lb-ft @ 4,500 RPM",205
"338 lb-ft @ 4,400 RPM",205
"275 lb-ft @ 3,600 RPM",203
"122 lb-ft @ 4,200 RPM",200
"264 lb-ft @ 5,200 RPM",200
"221 lb-ft @ 2,700 RPM",199
"125 lb-ft @ 4,000 RPM",198
"295 lb-ft @ 2,250 RPM",196
"127 lb-ft @ 4,800 RPM",194
"406 lb-ft @ 1,850 RPM",192
"251 lb-ft @ 5,000 RPM",188
"332 lb-ft @ 1,340 RPM",186
"160 lb-ft @ 4,500 RPM",186
"245 lb-ft @ 4,900 RPM",186
"350 lb-ft @ 1,600 RPM",184
"236 lb-ft @ 3,200 RPM",184
"420 lb-ft @ 3,250 RPM",183
"170 lb-ft @ 4,700 RPM",180
"254 lb-ft @ 4,700 RPM",178
"339 lb-ft @ 2,700 RPM",177
"180 lb-ft @ 3,800 RPM",177
"259 lb-ft @ 4,100 RPM",173
"238 lb-ft @ 3,000 RPM",172
"331 lb-ft @ 1,340 RPM",172
"257 lb-ft @ 4,700 RPM",171
"516 lb-ft @ 3,500 RPM",171
"129 lb-ft @ 4,000 RPM",170
"161 lb-ft @ 4,500 RPM",170
"269 lb-ft @ 4,500 RPM",169
"375 lb-ft @ 2,500 RPM",167
"305 lb-ft @ 2,750 RPM",166
"470 lb-ft @ 4,300 RPM",163
"205 lb-ft @ 4,000 RPM",160
"428 lb-ft @ 4,500 RPM",160
"210 lb-ft @ 2,200 RPM",158
"450 lb-ft @ 1,800 RPM",155
"260 lb-ft @ 4,500 RPM",154
"350 lb-ft @ 1,800 RPM",154
"148 lb-ft @ 4,100 RPM",153
"365 lb-ft @ 2,000 RPM",152
"248 lb-ft @ 4,500 RPM",151
"193 lb-ft @ 4,850 RPM",151
"126 lb-ft @ 4,000 RPM",151
"114 lb-ft @ 4,250 RPM",149
"210 lb-ft @ 3,800 RPM",146
"251 lb-ft @ 4,700 RPM",143
"330 lb-ft @ 4,000 RPM",142
"251 lb-ft @ 3,500 RPM",142
"406 lb-ft @ 1,500 RPM",141
"460 lb-ft @ 2,500 RPM",141
"280 lb-ft @ 4,250 RPM",141
"258 lb-ft @ 2,500 RPM",141
"220 lb-ft @ 4,400 RPM",139
"185 lb-ft @ 5,000 RPM",138
"242 lb-ft @ 3,600 RPM",138
"128 lb-ft @ 4,750 RPM",136
"285 lb-ft @ 5,300 RPM",136
"269 lb-ft @ 4,300 RPM",134
"223 lb-ft @ 5,700 RPM",134
"242 lb-ft @ 4,500 RPM",133
"184 lb-ft @ 2,550 RPM",133
"167 lb-ft @ 4,000 RPM",132
"269 lb-ft @ 1,350 RPM",130
"255 lb-ft @ 5,000 RPM",130
"235 lb-ft @ 3,200 RPM",129
"188 lb-ft @ 4,400 RPM",128
"375 lb-ft @ 4,200 RPM",127
"339 lb-ft @ 1,450 RPM",126
"442 lb-ft @ 1,600 RPM",126
"368 lb-ft @ 1,800 RPM",126
"125 lb-ft @ 2,500 RPM",125
"443 lb-ft @ 1,900 RPM",124
"375 lb-ft @ 3,500 RPM",124
"163 lb-ft @ 4,000 RPM",124
"384 lb-ft @ 2,000 RPM",124
"269 lb-ft @ 1,300 RPM",124
"103 lb-ft @ 4,200 RPM",123
"325 lb-ft @ 2,100 RPM",122
"83 lb-ft @ 4,200 RPM",122
"295 lb-ft @ 1,300 RPM",122
"275 lb-ft @ 5,000 RPM",122
"125 lb-ft @ 4,200 RPM",120
"630 lb-ft @ 3,000 RPM",119
"376 lb-ft @ 1,300 RPM",119
"650 lb-ft @ 3,600 RPM",119
"170 lb-ft @ 4,300 RPM",119
"232 lb-ft @ 4,000 RPM",118
"162 lb-ft @ 3,600 RPM",118
"650 lb-ft @ 1,500 RPM",118
"295 lb-ft @ 1,400 RPM",117
